algo,func,run_id,error
SCA,F32014,5,46323.82463279612
SCA,F32014,6,57652.93485562629
SCA,F32014,7,56273.61979725934
SCA,F32014,8,46572.85847584773
SCA,F32014,9,59294.5001296794
SCA,F32014,10,41626.64680154161
SCA,F32014,11,56703.31754948358
SCA,F32014,12,37891.638483694514
SCA,F32014,13,55970.64696653432
SCA,F32014,14,53825.42097903797
SCA,F32014,15,46952.817092493475
SCA,F32014,16,32136.288487583402
SCA,F32014,17,43370.40894226044
SCA,F32014,18,44874.88527909878
SCA,F32014,19,66365.57902101368
SCA,F32014,20,48662.22272317659
SCA,F32014,21,57285.3322687392
SCA,F32014,22,44687.57096476621
SCA,F32014,23,57219.99580045901
SCA,F32014,24,35588.18518081156
SCA,F32014,25,55065.25759064145
SCA,F32014,26,54486.55117797477
SCA,F32014,27,61468.7322887483
SCA,F32014,28,83347.42942359865
SCA,F32014,29,33630.33352523925
SCA,F32014,30,41473.092334265704
SCA,F32014,31,56470.954710413556
SCA,F32014,32,54170.56211773773
SCA,F32014,33,48586.22280469021
SCA,F32014,34,38951.53140363463
SCA,F32014,35,37914.66096663765
SCA,F32014,36,44295.223604041275
SCA,F32014,37,50837.8355904288
SCA,F32014,38,60519.72918232181
SCA,F32014,39,53715.88637702611
SCA,F32014,40,65999.85179326576
SCA,F32014,41,50877.93155631452
SCA,F32014,42,40799.318294313336
SCA,F32014,43,42904.70818650877
SCA,F32014,44,42494.50218326591
SCA,F32014,45,44637.763263536624
SCA,F32014,46,41951.81310647341
SCA,F32014,47,68133.04294065214
SCA,F32014,48,38143.01179644602
SCA,F32014,49,65374.85719078654
MVO,F32014,0,4375.809630389735
MVO,F32014,1,7113.5208950854685
MVO,F32014,2,10520.103490816491
MVO,F32014,3,4612.335140352945
MVO,F32014,4,5076.445465884876
MVO,F32014,5,5651.13322350168
MVO,F32014,6,11311.205191836265
MVO,F32014,7,8707.355357431028
MVO,F32014,8,3173.545589081672
MVO,F32014,9,4012.3124333379283
MVO,F32014,10,2698.615992279062
MVO,F32014,11,6268.211938826406
MVO,F32014,12,6075.699523136811
MVO,F32014,13,5644.821587208241
MVO,F32014,14,10080.335933451017
MVO,F32014,15,7038.9558137202475
MVO,F32014,16,4072.829344156966
MVO,F32014,17,6128.900617984087
MVO,F32014,18,7081.3118043589175
MVO,F32014,19,2079.997976290365
MVO,F32014,20,4587.187325056869
MVO,F32014,21,2702.428715822715
MVO,F32014,22,9614.6300618994
MVO,F32014,23,6163.339398047881
MVO,F32014,24,5208.634482327584
MVO,F32014,25,7201.315908204628
MVO,F32014,26,6821.772277188766
MVO,F32014,27,7332.561094225425
MVO,F32014,28,5974.9174654329745
MVO,F32014,29,4782.247005973764
MVO,F32014,30,6431.03967476804
MVO,F32014,31,3894.8464200405488
MVO,F32014,32,3773.661605102316
MVO,F32014,33,5561.309616667977
MVO,F32014,34,3382.4275494906587
MVO,F32014,35,4645.324303046838
MVO,F32014,36,5172.665204979533
MVO,F32014,37,8284.221126232314
MVO,F32014,38,4381.717838712659
MVO,F32014,39,5419.650950709823
MVO,F32014,40,3243.1516641829508
MVO,F32014,41,7939.915623969497
MVO,F32014,42,7765.509938403509
MVO,F32014,43,5325.329838288426
MVO,F32014,44,4093.6096509573827
MVO,F32014,45,4469.98753963216
MVO,F32014,46,8569.608394662191
MVO,F32014,47,4764.4214262032365
MVO,F32014,48,7063.08081811996
MVO,F32014,49,11280.2455440713
HHO,F32014,0,12538.4470174988
HHO,F32014,1,16378.528647726387
HHO,F32014,2,14425.750625356473
HHO,F32014,3,17578.71146405951
HHO,F32014,4,10925.807455497163
HHO,F32014,5,12434.89622451064
HHO,F32014,6,30546.40140266341
HHO,F32014,7,11191.652522547669
HHO,F32014,8,15137.817027819063
HHO,F32014,9,10933.379798398444
HHO,F32014,10,14092.554432780404
HHO,F32014,11,21501.514255986316
HHO,F32014,12,10907.545418667634
HHO,F32014,13,21684.95032036929
HHO,F32014,14,11888.07702643104
HHO,F32014,15,39540.22084894476
HHO,F32014,16,10719.301366890584
HHO,F32014,17,27815.676052603543
HHO,F32014,18,13216.4606523252
HHO,F32014,19,12779.527596583965
HHO,F32014,20,13622.120066548734
HHO,F32014,21,17955.668529480125
HHO,F32014,22,13434.185497212808
HHO,F32014,23,32350.495945837185
HHO,F32014,24,12191.874009394982
HHO,F32014,25,13616.215425720118
HHO,F32014,26,10430.6878134393
HHO,F32014,27,25165.395432134672
HHO,F32014,28,16190.760149030808
HHO,F32014,29,12594.721550486443
HHO,F32014,30,10998.583809926398
HHO,F32014,31,12902.182147795136
HHO,F32014,32,18128.14422691312
HHO,F32014,33,16011.273830486947
HHO,F32014,34,15245.410135620294
HHO,F32014,35,16185.218200182295
HHO,F32014,36,12491.2247251305
HHO,F32014,37,18236.409793882358
HHO,F32014,38,26424.715462302727
HHO,F32014,39,13806.778386771106
HHO,F32014,40,37137.14684655451
HHO,F32014,41,12159.10299952448
HHO,F32014,42,15655.216837614818
HHO,F32014,43,15750.863268013942
HHO,F32014,44,19768.175899585865
HHO,F32014,45,12246.828348998506
HHO,F32014,46,19541.94606321455
HHO,F32014,47,11066.745303127625
HHO,F32014,48,18238.508258775957
HHO,F32014,49,13776.799421077
IDBO,F22014,0,2725146930.2445683
IDBO,F22014,1,1530993300.7917964
IDBO,F22014,2,4447071350.2430105
IDBO,F22014,3,254009549.49173683
IDBO,F22014,4,2319129872.6791563
IDBO,F22014,5,2874341570.0707183
IDBO,F22014,6,1150625405.6610873
IDBO,F22014,7,1146526546.991862
IDBO,F22014,8,3544166845.1372647
IDBO,F22014,9,12850724852.436583
IDBO,F22014,10,2347624408.933755
IDBO,F22014,11,151839273.37649214
IDBO,F22014,12,606070856.1694331
IDBO,F22014,13,1618779284.3366241
IDBO,F22014,14,4200555080.984687
IDBO,F22014,15,627715166.5940048
IDBO,F22014,16,360753651.8779534
IDBO,F22014,17,2591603286.421237
IDBO,F22014,18,6280456857.026773
IDBO,F22014,19,846263750.9838543
IDBO,F22014,20,1016708122.368444
IDBO,F22014,21,952561730.1103703
IDBO,F22014,22,11224478652.603043
IDBO,F22014,23,15029590361.761297
IDBO,F22014,24,5040823766.769766
